circo,candidat1,candidat2,candidat3,candidat4,color1,color2,color3,color4,score1,score2,score3,score4,nom circo
999-1,Roland Lescure,Frederic Lefebvre,,,REM,LR,,,0.5753,0.1453,,,Français de l'étranger 1
999-2,Paula Forteza,Sergio Coronado,,,REM,ECO,,,0.4317,0.2361,,,Français de l'étranger 2
999-3,Alexandre Holroyd ,Axelle Lemaire,,,REM,SOC,,,0.5780,0.0983,,,Français de l'étranger 3
999-4,Pieyre-Alexandre Anglade ,Sophie Rauszer,,,REM,FI,,,0.5227,0.1095,,,Français de l'étranger 4
999-5,Samantha Cazebonne, Francois Ralle-Andreoli,,,REM,FI,,,0.5036,0.1552,,,Français de l'étranger 5
999-6,Joachim Son-Forget, Claudine Schmid ,,,REM,LR,,,0.6355,0.1576,,,Français de l'étranger 6
999-7,Frederic Petit, Pierre-Yves Le Borgn' ,,,MDM,SOC,,,0.5403,0.1388,,,Français de l'étranger 7
999-8,Florence Drory ,Meyer Habib ,,,REM,UDI,,,0.3673,0.3551,,,Français de l'étranger 8
999-9,Leila Aichi , M'jid El Guerrab ,,,DVD,DIV,,,0.2029,0.1893,,,Français de l'étranger 9
999-10,Amal Amelia Lakrafi ,Alain Marsaud ,,,REM,LR,,,0.6008,0.1889,,,Français de l'étranger 10
999-11,Anne Genetet,Thierry Mariani ,,,REM,LR,,,0.5411,0.1878,,,Français de l'étranger 11
